,dob,fullName,gn
1,1962-02-21,WILLIAM SHAFFER BLAND JR,F
2,1962-02-21,BILL BLAND JR,F
3,1954-08-06,WILLIAM BLAND JR,F
4,1953-10-25,WILLIAM SHAFFER BLAND JR,F
5,1953-10-25,THOMAS DUNCAN JR,F
6,1953-10-25,ROY DUNCAN CARLSON JR,F
7,1953-10-25,RON CARLSON JR,F
8,1953-10-25,ROY MICHAELSON,M
9,1951-01-05,ROY MICHAELSON JR,M
10,1948-06-17,ROY MICHAELSON JR,M
11,1947-09-04,ROY MICHAELSON JR,M
12,1947-09-04,ROBERT MICHAELSON JR,M
13,1947-09-04,BOB MICHAELSON JR,M
14,1947-11-03,OWEN MUSTAPHA JR,M
15,1947-11-03,OWAN MUSTAPHA JR,M
16,1946-01-31,LAWRENCE LIND HOUGHTON JR,M
17,1946-01-31,KENNETH LIND JR,M
18,1946-01-20,JOHN CAIN LIND JR,M
19,1945-09-06,JOHN CLARK,M
20,1945-09-02,RONALD CLARK,M
21,1945-09-02,DONALD CLARK,M
22,1944-12-16,JOHN MICHAELSON CLARK,M
23,1940-04-24,JOHN MICHAELSON JR,M
24,1939-06-24,JOHN MICHAELSON JR,M
25,1939-06-24,JAMES MICHAELSON JR,M
26,1939-06-24,JACK MICHAELSON JR,M
27,1939-09-06,JACK MICHAELSON JR,M
28,1939-09-06,HAROLD LARSON JR,M
29,1937-07-10,HAROLD FAGEN SMITH HOUGHTON MICHAELSON MELVIN CHAVAS MUSTAPHA JR,M
30,1937-07-10,GEORGE FAGEN JR,M
31,1937-07-10,DARH GRIFFIN JR,M
32,1937-10-07,DARL GRIFFIN JR,M
33,1937-07-05,DARL GRIFFIN JR,M
34,1937-07-05,CLIFFORD GRIFFIN JR,M
35,1937-07-05,CLARENCE GRIFFIN JR,M
36,1934-11-24,ADDISON JOHN HANNA,M
37,1932-10-15,ADDISON GALETICH JR,M
38,1937-06-12,HARRIET FUNARO JONES,F
