,dob,fn,gn,ln
0,1968-01-03,WILLIAM,F,SMITH JR
1,1968-01-03,WILLIAM,F,ROTHMEYER JR
2,1968-01-03,WILLIAM,F,ASBY JR
3,1968-01-03,WILLIAM,F,SALTER JR
4,1962-02-21,WILLIAM,F,BLAND III
5,1962-02-21,WILLIAM,F,SHAFFER JR
6,1962-02-21,BILL,F,BLAND JR
7,1954-08-06,WILLIAM,F,BLAND JR
8,1953-10-25,WILLIAM,F,BLAND JR
9,1953-10-25,WILLIAM,F,SHAFFER JR
10,1953-10-25,THOMAS,F,DUNCAN JR
11,1953-10-25,ROY,F,CARLSON JR
12,1953-10-25,RON,F,CARLSON JR
13,1953-10-25,ROY,F,DUNCAN JR
14,1953-10-25,ROY,M,MICHAELSON JR
15,1951-01-05,ROY,M,MICHAELSON JR
16,1948-06-17,ROY,M,MICHAELSON JR
17,1947-09-04,ROY,M,MICHAELSON JR
18,1947-09-04,ROBERT,M,MICHAELSON JR
19,1947-09-04,BOB,M,MICHAELSON JR
20,1947-11-03,OWEN,M,MUSTAPHA JR
21,1947-11-03,OWAN,M,MUSTAPHA JR
22,1946-01-31,LAWRENCE,M,HOUGHTON JR
23,1946-01-31,LAWRENCE,M,LIND JR
24,1946-01-31,KENNETH,M,LIND JR
25,1946-01-20,JOHN,M,LIND JR
26,1946-01-20,JOHN,M,CAIN JR
27,1945-09-06,JOHN,M,CLARK
28,1945-09-02,RONALD,M,CLARK
29,1945-09-02,DONALD,M,CLARK
30,1944-12-16,JOHN,M,CLARK JR
31,1944-12-16,JOHN,M,MICHAELSON JR
32,1940-04-24,JOHN,M,MICHAELSON JR
33,1939-06-24,JOHN,M,MICHAELSON JR
34,1939-06-24,JAMES,M,MICHAELSON JR
35,1939-06-24,JACK,M,MICHAELSON JR
36,1939-09-06,JACK,M,MICHAELSON JR
37,1939-09-06,HAROLD,M,LARSON JR
38,1937-07-10,HAROLD,M,MUSTAPHA JR
39,1937-07-10,HAROLD,M,HOUGHTON JR
40,1937-07-10,HAROLD,M,MELVIN JR
41,1937-07-10,HAROLD,M,CHAVAS JR
42,1937-07-10,HAROLD,M,MICHAELSON JR
43,1937-07-10,HAROLD,M,SMITH JR
44,1937-07-10,HAROLD,M,FAGEN JR
45,1937-07-10,GEORGE,M,FAGEN JR
46,1937-07-10,DARH,M,GRIFFIN JR
47,1937-10-07,DARL,M,GRIFFIN JR
48,1937-07-05,DARL,M,GRIFFIN JR
49,1937-07-05,CLIFFORD,M,GRIFFIN JR
50,1937-07-05,CLARENCE,M,GRIFFIN JR
51,1934-11-24,ADDISON J,M,HANNA
52,1932-10-15,ADDISON,M,GALETICH JR
53,1937-06-12,HARRIET,F,FUNARO JONES
